 3 - 42;  15 - 27;  3 - 48;  3 - 47;  14 - 28;  21 - 25;  11 - 39;  13 - 29;  2 - 48;  1 - 41;  0 - 48;  2 - 41;  2 - 43;  5 - 44;  22 - 25;  2 - 44;  21 - 23;  10 - 37;  11 - 38;  12 - 30;  12 - 30;  22 - 25;  11 - 31;  16 - 34;  16 - 26;  1 - 41;  32 - 10;  3 - 39;  2 - 45;  0 - 43; 
 2 - 40;  2 - 40;  2 - 40;  21 - 30;  11 - 36;  2 - 41;  7 - 41;  1 - 41;  5 - 37;  2 - 44;  12 - 31;  11 - 32;  14 - 37;  13 - 33;  4 - 43;  23 - 19;  4 - 43;  10 - 40;  19 - 31;  12 - 31;  12 - 35;  0 - 44;  3 - 40;  12 - 31;  2 - 43;  3 - 47;  1 - 44;  2 - 40;  14 - 28;  1 - 41; 
 3 - 48;  2 - 41;  21 - 21;  11 - 35;  12 - 30;  13 - 37;  12 - 34;  10 - 38;  2 - 45;  5 - 43;  1 - 41;  3 - 39;  4 - 41;  2 - 40;  3 - 39;  1 - 41;  0 - 42;  13 - 34;  13 - 29;  1 - 41;  4 - 41;  14 - 36;  0 - 46;  1 - 41;  11 - 33;  2 - 40;  2 - 40;  11 - 36;  0 - 42;  0 - 42; 
 12 - 30;  1 - 41;  10 - 34;  1 - 41;  3 - 42;  15 - 27;  10 - 34;  10 - 41;  2 - 40;  1 - 41;  10 - 35;  12 - 36;  12 - 30;  12 - 38;  1 - 48;  1 - 41;  8 - 34;  23 - 19;  13 - 38;  2 - 40;  1 - 41;  2 - 40;  10 - 41;  1 - 41;  11 - 31;  8 - 41;  10 - 38;  14 - 28;  12 - 30;  12 - 39; 
 4 - 38;  22 - 20;  4 - 46;  11 - 31;  12 - 30;  11 - 40;  1 - 41;  3 - 48;  1 - 50;  0 - 42;  2 - 42;  12 - 33;  0 - 48;  22 - 29;  22 - 20;  24 - 19;  1 - 41;  3 - 48;  22 - 29;  33 - 12;  11 - 31;  2 - 40;  2 - 41;  5 - 46;  3 - 39;  4 - 46;  10 - 32;  12 - 30;  2 - 42;  2 - 40; 
 2 - 40;  2 - 40;  2 - 40;  10 - 35;  12 - 38;  11 - 35;  12 - 30;  3 - 40;  2 - 49;  20 - 25;  1 - 43;  1 - 41;  3 - 48;  12 - 38;  12 - 30;  2 - 40;  1 - 41;  4 - 43;  0 - 52;  22 - 29;  13 - 29;  3 - 42;  3 - 42;  3 - 43;  0 - 49;  2 - 40;  13 - 29;  11 - 35;  17 - 32;  11 - 31; 
 12 - 30;  11 - 40;  13 - 29;  10 - 34;  0 - 42;  0 - 47;  11 - 33;  2 - 49;  7 - 37;  12 - 30;  10 - 39;  1 - 46;  3 - 44;  2 - 40;  12 - 31;  3 - 39;  10 - 36;  13 - 32;  4 - 38;  30 - 17;  11 - 37;  14 - 31;  18 - 33;  15 - 36;  13 - 38;  0 - 47;  2 - 48;  13 - 38;  1 - 45;  24 - 25; 
 22 - 24;  15 - 36;  2 - 49;  12 - 39;  4 - 43;  12 - 31;  12 - 30;  4 - 40;  1 - 47;  12 - 30;  13 - 37;  13 - 31;  1 - 41;  21 - 30;  10 - 32;  0 - 45;  1 - 49;  16 - 33;  4 - 39;  12 - 39;  1 - 42;  11 - 31;  1 - 41;  11 - 38;  2 - 44;  2 - 40;  3 - 39;  4 - 38;  1 - 44;  2 - 44; 
 12 - 30;  2 - 40;  1 - 47;  2 - 49;  2 - 40;  14 - 36;  1 - 46;  15 - 36;  2 - 43;  1 - 48;  11 - 34;  7 - 35;  13 - 35;  3 - 41;  11 - 38;  22 - 23;  0 - 49;  12 - 30;  3 - 39;  3 - 39;  8 - 34;  15 - 30;  3 - 42;  9 - 33;  1 - 41;  2 - 40;  5 - 40;  1 - 50;  11 - 34;  12 - 30; 
 14 - 30;  2 - 40;  6 - 36;  0 - 42;  1 - 41;  13 - 30;  10 - 39;  20 - 22;  4 - 38;  11 - 32;  1 - 41;  13 - 33;  12 - 31;  12 - 38;  4 - 38;  2 - 45;  2 - 40;  2 - 40;  2 - 47;  13 - 35;  12 - 39;  0 - 42;  1 - 45;  3 - 39;  10 - 34;  5 - 45;  14 - 34;  2 - 40;  4 - 44;  4 - 43; 
 17 - 34;  3 - 44;  3 - 43;  16 - 30;  2 - 44;  2 - 40;  5 - 37;  2 - 49;  4 - 46;  2 - 40;  3 - 44;  0 - 43;  1 - 41;  10 - 41;  34 - 16;  11 - 36;  1 - 44;  10 - 37;  21 - 25;  3 - 39;  20 - 22;  5 - 42;  12 - 30;  11 - 35;  0 - 45;  0 - 42;  5 - 37;  13 - 38;  1 - 49;  1 - 46; 
 30 - 16;  14 - 35;  11 - 39;  13 - 38;  12 - 30;  13 - 33;  2 - 42;  25 - 23;  22 - 20;  1 - 50;  1 - 45;  2 - 40;  3 - 39;  4 - 45;  7 - 43;  5 - 44;  3 - 39;  11 - 31;  3 - 39;  3 - 44;  3 - 39;  12 - 34;  3 - 39;  13 - 29;  2 - 49;  12 - 35;  11 - 37;  13 - 29;  14 - 28;  3 - 39; 
 2 - 42;  5 - 37;  3 - 39;  10 - 34;  13 - 37;  3 - 40;  24 - 27;  2 - 47;  21 - 30;  11 - 31;  2 - 40;  2 - 40;  11 - 31;  3 - 48;  23 - 22;  3 - 39;  2 - 46;  1 - 41;  11 - 39;  2 - 40;  0 - 46;  11 - 31;  13 - 36;  20 - 31;  2 - 40;  10 - 38;  1 - 50;  0 - 50;  1 - 42;  11 - 31; 
 1 - 43;  2 - 40;  3 - 39;  1 - 41;  10 - 40;  6 - 36;  11 - 39;  12 - 31;  3 - 41;  2 - 44;  3 - 39;  2 - 49;  13 - 35;  5 - 44;  1 - 42;  1 - 41;  14 - 30;  2 - 40;  2 - 40;  21 - 24;  12 - 30;  22 - 24;  11 - 31;  12 - 34;  10 - 39;  3 - 39;  3 - 39;  0 - 42;  3 - 39;  3 - 43; 
 1 - 47;  21 - 30;  31 - 19;  10 - 39;  6 - 36;  2 - 46;  1 - 47;  2 - 41;  0 - 48;  1 - 50;  6 - 40;  10 - 36;  0 - 51;  1 - 43;  13 - 29;  2 - 49;  4 - 45;  12 - 30;  3 - 39;  10 - 35;  1 - 47;  10 - 34;  11 - 31;  4 - 43;  3 - 42;  10 - 32;  15 - 27;  10 - 39;  15 - 27;  2 - 44; 
 4 - 44;  2 - 40;  13 - 32;  0 - 46;  0 - 42;  2 - 49;  11 - 31;  1 - 45;  1 - 41;  8 - 34;  2 - 44;  1 - 49;  12 - 30;  2 - 40;  3 - 40;  1 - 41;  4 - 45;  11 - 31;  12 - 32;  0 - 47;  10 - 33;  3 - 43;  2 - 40;  2 - 40;  11 - 37;  12 - 30;  1 - 41;  10 - 32;  23 - 19;  11 - 39; 
 3 - 39;  11 - 31;  1 - 48;  21 - 27;  10 - 34;  4 - 42;  22 - 29;  13 - 29;  4 - 46;  2 - 40;  12 - 35;  1 - 49;  3 - 39;  0 - 50;  3 - 39;  11 - 32;  7 - 42;  5 - 45;  2 - 44;  1 - 41;  1 - 48;  14 - 32;  0 - 47;  0 - 43;  1 - 41;  0 - 46;  1 - 41;  4 - 44;  5 - 40;  12 - 35; 
