 13 - 29;  1 - 41;  2 - 45;  10 - 38;  2 - 41;  11 - 39;  2 - 40;  1 - 44;  2 - 40;  12 - 31;  0 - 46;  22 - 22;  13 - 29;  2 - 42;  3 - 39;  4 - 38;  11 - 40;  11 - 31;  0 - 42;  1 - 44;  5 - 40;  3 - 40;  11 - 31;  14 - 34;  0 - 42;  0 - 43;  22 - 28;  2 - 40;  12 - 37;  0 - 50; 
 0 - 43;  2 - 40;  0 - 42;  2 - 49;  1 - 47;  1 - 43;  0 - 47;  1 - 43;  10 - 35;  11 - 31;  1 - 45;  12 - 31;  1 - 42;  17 - 34;  2 - 49;  1 - 41;  11 - 34;  1 - 49;  0 - 44;  10 - 32;  1 - 43;  3 - 46;  0 - 42;  4 - 38;  10 - 32;  11 - 36;  1 - 41;  20 - 22;  3 - 42;  0 - 45; 
 18 - 26;  5 - 39;  3 - 47;  2 - 47;  4 - 39;  0 - 50;  1 - 47;  2 - 45;  2 - 40;  21 - 21;  11 - 35;  0 - 44;  12 - 33;  21 - 28;  4 - 45;  3 - 39;  2 - 40;  3 - 39;  14 - 29;  0 - 42;  1 - 45;  12 - 31;  5 - 40;  1 - 41;  15 - 36;  12 - 30;  1 - 44;  6 - 36;  3 - 39;  2 - 41; 
 25 - 22;  9 - 36;  14 - 28;  3 - 48;  2 - 41;  21 - 28;  21 - 30;  2 - 45;  11 - 31;  1 - 41;  25 - 17;  0 - 49;  0 - 42;  21 - 21;  1 - 41;  0 - 48;  12 - 38;  18 - 30;  16 - 35;  11 - 31;  2 - 40;  1 - 43;  33 - 9;  10 - 37;  27 - 17;  4 - 38;  21 - 30;  12 - 30;  1 - 46;  3 - 49; 
 26 - 16;  25 - 17;  12 - 38;  24 - 21;  5 - 40;  14 - 28;  15 - 29;  27 - 15;  28 - 21;  16 - 26;  2 - 40;  14 - 37;  27 - 23;  27 - 15;  29 - 14;  25 - 25;  6 - 41;  11 - 32;  14 - 29;  37 - 14;  29 - 13;  10 - 38;  18 - 27;  20 - 22;  11 - 32;  12 - 39;  15 - 29;  19 - 28;  5 - 37;  16 - 26; 
 16 - 26;  13 - 38;  19 - 30;  42 - 6;  17 - 28;  37 - 12;  29 - 22;  21 - 23;  29 - 13;  12 - 32;  40 - 5;  13 - 37;  33 - 9;  34 - 8;  31 - 14;  26 - 23;  19 - 32;  43 - 3;  20 - 27;  22 - 26;  17 - 25;  18 - 26;  29 - 16;  22 - 20;  11 - 40;  25 - 22;  33 - 15;  13 - 33;  16 - 26;  5 - 37; 
 23 - 25;  17 - 25;  24 - 22;  39 - 11;  32 - 17;  28 - 15;  38 - 4;  36 - 12;  15 - 30;  28 - 19;  34 - 9;  18 - 24;  19 - 23;  7 - 35;  4 - 43;  20 - 28;  29 - 14;  11 - 34;  20 - 24;  14 - 34;  23 - 27;  30 - 17;  18 - 27;  29 - 13;  3 - 48;  24 - 18;  18 - 29;  3 - 47;  4 - 38;  12 - 35; 
 16 - 26;  36 - 15;  32 - 16;  37 - 7;  14 - 28;  30 - 18;  10 - 34;  36 - 9;  15 - 29;  30 - 20;  4 - 38;  41 - 6;  14 - 28;  26 - 16;  24 - 24;  38 - 6;  23 - 28;  29 - 13;  19 - 23;  8 - 34;  16 - 27;  29 - 19;  15 - 27;  1 - 45;  5 - 40;  2 - 44;  17 - 25;  4 - 40;  13 - 37;  13 - 29; 
 22 - 21;  16 - 26;  12 - 30;  25 - 26;  24 - 18;  30 - 16;  15 - 28;  26 - 24;  19 - 26;  37 - 6;  16 - 27;  48 - 3;  35 - 13;  15 - 35;  17 - 28;  25 - 19;  27 - 15;  26 - 16;  37 - 11;  21 - 27;  6 - 39;  29 - 18;  12 - 30;  5 - 37;  25 - 17;  24 - 18;  7 - 35;  27 - 15;  15 - 36;  14 - 28; 
 13 - 29;  33 - 15;  15 - 33;  28 - 16;  32 - 15;  17 - 26;  27 - 18;  45 - 2;  6 - 39;  26 - 16;  16 - 26;  14 - 28;  23 - 28;  18 - 24;  33 - 10;  15 - 27;  25 - 23;  10 - 32;  10 - 36;  17 - 25;  24 - 18;  25 - 17;  12 - 32;  16 - 34;  16 - 28;  29 - 14;  8 - 38;  18 - 24;  17 - 27;  22 - 26; 
 16 - 34;  5 - 37;  15 - 27;  30 - 12;  18 - 24;  47 - 2;  38 - 13;  19 - 25;  37 - 8;  35 - 13;  39 - 3;  10 - 36;  13 - 34;  10 - 38;  29 - 18;  41 - 2;  18 - 27;  38 - 4;  27 - 17;  17 - 26;  30 - 13;  28 - 15;  12 - 30;  19 - 23;  24 - 23;  25 - 17;  23 - 19;  17 - 25;  14 - 28;  0 - 42; 
