 4 - 38;  1 - 43;  12 - 30;  5 - 37;  10 - 38;  0 - 43;  3 - 39;  12 - 34;  11 - 34;  13 - 37;  23 - 21;  0 - 47;  16 - 26;  0 - 42;  2 - 45;  11 - 38;  1 - 50;  2 - 40;  15 - 30;  2 - 45;  1 - 41;  11 - 37;  1 - 42;  4 - 47;  1 - 48;  2 - 40;  0 - 42;  3 - 39;  2 - 47;  11 - 38; 
 3 - 39;  12 - 30;  2 - 44;  3 - 45;  16 - 30;  12 - 32;  0 - 49;  4 - 38;  12 - 36;  13 - 38;  4 - 42;  11 - 35;  12 - 30;  0 - 50;  1 - 42;  4 - 41;  24 - 18;  1 - 43;  3 - 46;  10 - 35;  1 - 50;  2 - 40;  18 - 26;  2 - 41;  1 - 41;  5 - 37;  0 - 44;  1 - 41;  1 - 44;  13 - 36; 
 27 - 21;  25 - 24;  3 - 39;  4 - 38;  26 - 16;  3 - 39;  15 - 27;  13 - 29;  26 - 17;  21 - 21;  1 - 41;  2 - 40;  13 - 29;  27 - 20;  1 - 50;  0 - 47;  2 - 40;  2 - 46;  15 - 27;  5 - 37;  13 - 30;  14 - 29;  11 - 31;  4 - 38;  3 - 39;  3 - 39;  15 - 33;  20 - 30;  1 - 41;  16 - 28; 
 13 - 31;  20 - 30;  30 - 18;  44 - 2;  39 - 9;  19 - 26;  4 - 39;  16 - 29;  23 - 19;  29 - 13;  19 - 31;  23 - 19;  15 - 30;  12 - 30;  25 - 26;  23 - 19;  6 - 36;  3 - 39;  5 - 37;  16 - 26;  22 - 22;  26 - 16;  19 - 23;  23 - 25;  25 - 17;  18 - 24;  28 - 14;  13 - 29;  26 - 16;  1 - 41; 
 24 - 18;  31 - 12;  12 - 39;  34 - 16;  23 - 20;  23 - 23;  14 - 28;  17 - 34;  28 - 23;  16 - 29;  29 - 13;  3 - 39;  23 - 27;  6 - 36;  28 - 14;  22 - 26;  27 - 15;  36 - 14;  16 - 30;  14 - 28;  26 - 22;  25 - 22;  16 - 26;  25 - 17;  23 - 22;  31 - 12;  5 - 41;  3 - 42;  4 - 38;  2 - 49; 
 29 - 15;  3 - 48;  27 - 15;  38 - 13;  14 - 28;  31 - 15;  37 - 5;  5 - 38;  10 - 37;  36 - 6;  31 - 18;  33 - 13;  30 - 16;  32 - 17;  30 - 12;  37 - 14;  15 - 29;  27 - 21;  20 - 25;  36 - 6;  37 - 5;  7 - 35;  25 - 21;  26 - 18;  27 - 20;  6 - 41;  13 - 29;  19 - 23;  37 - 11;  22 - 26; 
 33 - 15;  37 - 5;  5 - 42;  7 - 36;  8 - 36;  15 - 32;  23 - 19;  36 - 6;  29 - 16;  16 - 26;  25 - 17;  38 - 4;  18 - 26;  8 - 34;  22 - 24;  7 - 35;  25 - 17;  15 - 27;  24 - 20;  34 - 17;  17 - 25;  15 - 27;  27 - 15;  34 - 10;  16 - 26;  39 - 4;  2 - 46;  26 - 16;  23 - 23;  26 - 16; 
 31 - 14;  14 - 34;  29 - 15;  28 - 15;  24 - 18;  9 - 38;  29 - 16;  8 - 34;  18 - 24;  37 - 13;  26 - 16;  18 - 31;  36 - 14;  14 - 37;  29 - 13;  26 - 18;  15 - 31;  16 - 29;  30 - 16;  19 - 24;  28 - 15;  35 - 12;  13 - 29;  35 - 8;  25 - 24;  29 - 13;  14 - 37;  0 - 44;  19 - 23;  28 - 18; 
 19 - 23;  23 - 27;  32 - 17;  44 - 3;  17 - 31;  36 - 11;  27 - 15;  44 - 6;  20 - 28;  26 - 16;  34 - 13;  34 - 8;  23 - 28;  24 - 22;  18 - 24;  25 - 17;  27 - 15;  18 - 24;  28 - 14;  30 - 19;  27 - 15;  28 - 14;  14 - 30;  14 - 28;  28 - 15;  2 - 46;  16 - 31;  7 - 44;  20 - 24;  26 - 16; 
 26 - 18;  35 - 14;  34 - 11;  35 - 15;  35 - 7;  24 - 26;  28 - 14;  16 - 29;  28 - 16;  27 - 15;  8 - 40;  44 - 7;  40 - 9;  17 - 29;  11 - 37;  30 - 17;  30 - 18;  28 - 21;  33 - 17;  36 - 14;  29 - 19;  14 - 29;  32 - 19;  38 - 10;  19 - 23;  26 - 24;  34 - 15;  14 - 30;  4 - 41;  31 - 16; 
 18 - 31;  20 - 24;  37 - 5;  27 - 16;  25 - 17;  23 - 21;  17 - 25;  24 - 18;  26 - 19;  23 - 28;  34 - 9;  34 - 15;  19 - 28;  15 - 27;  29 - 15;  27 - 15;  19 - 23;  37 - 5;  13 - 29;  17 - 32;  37 - 13;  4 - 41;  40 - 8;  20 - 22;  22 - 25;  26 - 22;  11 - 36;  36 - 6;  27 - 23;  17 - 30; 
 20 - 25;  15 - 32;  27 - 15;  19 - 25;  37 - 14;  25 - 17;  28 - 15;  40 - 2;  20 - 22;  44 - 6;  28 - 14;  18 - 24;  27 - 16;  35 - 7;  14 - 36;  6 - 36;  31 - 20;  43 - 8;  7 - 36;  26 - 21;  26 - 16;  29 - 13;  13 - 31;  16 - 26;  22 - 23;  13 - 35;  3 - 39;  18 - 26;  27 - 16;  3 - 44; 
 22 - 25;  17 - 28;  27 - 15;  26 - 18;  33 - 12;  34 - 16;  17 - 34;  23 - 26;  21 - 27;  16 - 26;  26 - 25;  39 - 9;  18 - 24;  22 - 25;  29 - 16;  20 - 29;  28 - 18;  28 - 14;  26 - 16;  23 - 19;  13 - 29;  38 - 4;  8 - 34;  23 - 24;  25 - 17;  23 - 22;  12 - 30;  16 - 26;  28 - 18;  28 - 23; 
 23 - 27;  36 - 7;  15 - 27;  36 - 15;  29 - 13;  8 - 36;  32 - 10;  17 - 25;  16 - 34;  15 - 31;  10 - 32;  26 - 16;  25 - 17;  17 - 25;  17 - 26;  45 - 5;  41 - 5;  25 - 19;  27 - 20;  30 - 20;  37 - 5;  25 - 25;  9 - 41;  24 - 23;  26 - 16;  27 - 23;  16 - 33;  32 - 14;  28 - 19;  22 - 20; 
